DATE,MEAN_TEMP,MEDIAN_TEMP,VAR_TEMP,TOTAL_PRCP,MEAN_PRCP,MEDIAN_PRCP,VAR_PRCP,MIN_PRCP,MAX_PRCP,MIN,MAX
1965-04-30,55.76724348223814,55.0,166.0208229415499,79.73,0.006077908217716116,0.0,0.004374987297232716,0.0,1.89,1.9,100.9
1965-05-31,64.99280756166002,66.7,109.65595003740582,49.79,0.0036767094963816274,0.0,0.002579945102590294,0.0,1.77,12.9,102.9
1965-06-30,69.79387755102042,70.9,79.75269833296419,118.49,0.009056791255828174,0.0,0.011922348326257215,0.0,4.96,28.0,106.3
1965-07-31,74.44548288916933,75.1,63.99439514727577,95.5,0.007089302947071487,0.0,0.010568698705906085,0.0,5.16,32.0,111.9
1965-08-31,73.55061994208924,75.0,69.07353781730689,97.65,0.007249981438859604,0.0,0.007295882039834822,0.0,3.07,30.0,111.9
1965-09-30,66.63303964757709,67.5,137.7520764840504,110.14,0.008512249787464255,0.0,0.012709341537208915,0.0,5.71,6.1,106.0
1965-10-31,58.4896479085164,58.4,107.8807415207445,63.62,0.004786337646704784,0.0,0.005334880234663825,0.0,3.5,10.0,106.0
1965-11-30,49.84915710876761,50.5,174.63091980526045,75.77,0.0058324994226772375,0.0,0.004257518977578416,0.0,1.85,-15.0,96.3
1965-12-31,41.43223257547522,41.2,178.86577028733905,75.78,0.00564890048453224,0.0,0.0039725903027644305,0.0,2.13,-20.0,89.1
1966-01-31,33.2631243915225,34.4,309.9608195364287,102.36,0.007665693102673557,0.0,0.005762368158628668,0.0,1.77,-41.1,89.1
1966-02-28,37.75037450066578,38.0,240.27570689261248,87.95,0.0073194074567243675,0.0,0.006922343580040068,0.0,3.19,-41.1,87.1
1966-03-31,47.68492605660236,48.5,176.97049498139384,67.54,0.005070189925681256,0.0,0.0037429398928242852,0.0,1.85,-17.0,95.4
1966-04-30,54.63087017653492,55.0,155.03745020750233,65.38,0.005107014528979847,0.0,0.00425183215296424,0.0,2.32,-2.0,100.0
1966-05-31,63.179744635841644,64.3,124.43227801562952,91.84,0.006938652160773648,0.0,0.006356838245980686,0.0,3.15,17.1,104.0
1966-06-30,70.98723569651742,72.5,82.04083060727585,83.52,0.006492537313432836,0.0,0.007071845081519242,0.0,4.06,24.1,111.9
1966-07-31,76.63756993800091,77.9,67.48336041571301,74.02,0.005596552245576893,0.0,0.006306808559756699,0.0,4.57,30.0,113.0
1966-08-31,73.48974204707828,74.1,65.09481805168618,86.25,0.006486425509513424,0.0,0.007630809702151339,0.0,4.92,32.0,111.9
1966-09-30,67.60378470606483,67.8,84.30380480154598,93.44,0.007246781448735846,0.0,0.008536466357048779,0.0,3.78,23.0,109.0
1966-10-31,57.453014475451425,57.4,120.72317761474531,64.73,0.004829876137889867,0.0,0.005679894195776013,0.0,3.54,10.0,98.2
1966-11-30,48.9002827017115,49.4,180.6054870447009,80.79,0.0061728300733496335,0.0,0.006614304046639689,0.0,4.33,-16.1,100.0
1966-12-31,38.95710481544493,38.7,234.02780848368738,87.88,0.006500480804793253,0.0,0.004657785008645864,0.0,2.28,-26.0,90.0
1967-01-31,39.29068272498891,39.6,234.74229772346195,88.96,0.006573075217969558,0.0,0.005537342734693696,0.0,2.87,-36.9,86.0
1967-02-28,38.064631854212635,39.0,278.9333828593083,73.28,0.0059883958486557165,0.0,0.004385417648922056,0.0,2.13,-36.9,88.0
1967-03-31,48.05474667254945,48.9,264.6033307179201,68.73,0.005054048091771454,0.0,0.0034197187288316335,0.0,2.24,-27.0,96.1
1967-04-30,55.52216718738094,54.1,190.63843480911424,77.41,0.005898803627219385,0.0,0.005147025881056012,0.0,3.82,-11.9,100.2
1967-05-31,61.265127155802396,60.7,147.37012633770084,81.16,0.005931014323297281,0.0,0.005126305552694663,0.0,2.83,1.9,108.0
1967-06-30,70.4464926836627,71.1,85.63692403332605,113.18,0.008536732538844473,0.0,0.009228468930470968,0.0,3.15,28.9,109.4
1967-07-31,74.20415135929464,74.6,59.922943305768584,99.3,0.007296105804555474,0.0,0.006960959416092824,0.0,2.52,34.0,113.0
1967-08-31,73.37701090536486,73.7,57.54926578285574,100.05,0.007322696333162556,0.0,0.007578587632254954,0.0,3.66,33.1,113.0
1967-09-30,66.92194307400379,67.5,74.38810431587248,73.57,0.005584060721062618,0.0,0.0052702505429445354,0.0,2.68,22.3,106.0
1967-10-31,58.14981928155196,58.7,118.84119298150166,80.66,0.005949693885077819,0.0,0.007005967666806557,0.0,5.31,-0.9,100.9
1967-11-30,46.92789849566935,46.8,178.62847167178708,58.15,0.004418021577267893,0.0,0.0025636799669692223,0.0,1.42,-11.0,91.2
1967-12-31,39.62477563631013,39.5,255.84126650229445,98.9,0.007275268500809181,0.0,0.006584615312680806,0.0,3.58,-41.1,86.4
1968-01-31,34.82888505002519,35.8,304.9454361092301,76.38,0.005497732671129346,0.0,0.003543872961314361,0.0,2.2,-44.0,88.3
1968-02-29,37.492598861363284,38.2,234.75614280299123,50.68,0.0038990613940606245,0.0,0.002759498004812579,0.0,1.61,-23.1,91.9
1968-03-31,47.89597199162636,48.4,164.19753069860815,74.41,0.005371399696816574,0.0,0.004784797440698838,0.0,3.19,-18.9,91.9
1968-04-30,55.87075485799701,56.1,132.53036896449208,65.84,0.004920777279521674,0.0,0.004135213096936713,0.0,2.72,1.9,98.4
1968-05-31,62.17093801742135,61.5,105.63735476440823,88.0,0.006335037074364697,0.0,0.005340771543373363,0.0,2.76,14.0,106.0
1968-06-30,71.20526355084367,72.6,88.4153168759558,109.26,0.008157383903240258,0.0,0.011844749065536663,0.0,4.33,23.0,114.1
1968-07-31,74.96402668987525,76.1,56.340437893535594,96.85,0.00702422396286626,0.0,0.011078349453049767,0.0,5.31,30.0,111.4
1968-08-31,73.64128947751419,74.9,81.32915452663161,89.75,0.006531072624072188,0.0,0.006090702003638008,0.0,2.48,26.1,109.0
1968-09-30,67.83073148637428,68.3,76.23179972911792,60.73,0.004584434211519589,0.0,0.004642057021767637,0.0,2.87,18.0,111.9
1968-10-31,59.22995232856619,59.6,126.02285810979916,89.58,0.006569856985698569,0.0,0.01059272936858009,0.0,5.2,8.1,100.0
1968-11-30,47.18410811629315,46.5,147.2309165059136,103.41,0.007829345850999394,0.0,0.007092168345994352,0.0,2.52,-11.9,94.3
1968-12-31,37.09016502136438,37.5,248.8382625086818,93.18,0.006864594076911743,0.0,0.005550737281655742,0.0,2.44,-44.0,88.0
1969-01-31,36.31493152702106,37.2,333.1364282369727,73.6,0.00541893682815491,0.0,0.004004665801446694,0.0,2.36,-49.0,93.0
